,distances,rewards,steps
8979,0.531227171421,-0.000112435150248,3887.0
8980,0.542535662651,-0.000119769472439,3888.0
8981,0.566438913345,-0.000136307736575,3889.0
8982,0.600389301777,-0.000162315539084,3890.0
8983,0.640850126743,-0.000197392517978,3891.0
8984,0.673164486885,-0.000228783580704,3892.0
8985,0.688911914825,-0.000245218003043,3893.0
8986,0.721866607666,-0.000282118860503,3894.0
8987,0.721866607666,-0.000282118860503,3895.0
8988,0.721866607666,-0.000282118860503,3896.0
8989,0.721866607666,-0.000282118860503,3897.0
8990,0.721866607666,-0.000282118860503,3898.0
8991,0.740400910378,-0.000304412229338,3899.0
8992,0.785913050175,-0.000364069891548,3900.0
8993,0.827453792095,-0.00042490565904,3901.0
8994,0.837160110474,-0.000440034617008,3902.0
8995,0.855016350746,-0.000468796675574,3903.0
8996,0.875351905823,-0.000503047862853,3904.0
8997,0.884475648403,-0.000518942099247,3905.0
8998,0.903109490871,-0.000552436649253,3906.0
8999,0.903109490871,-0.000552436649253,3907.0
9000,0.903109490871,-0.000552436649253,3908.0
9001,0.903109490871,-0.000552436649253,3909.0
9002,0.903109490871,-0.000552436649253,3910.0
9003,0.903109490871,-0.000552436649253,3911.0
9004,0.901124477386,-0.000548801921613,3912.0
9005,0.903338432312,-0.000552856889683,3913.0
9006,0.906680822372,-0.000559016405024,3914.0
9007,0.910615861416,-0.000566326515148,3915.0
9008,0.898250162601,-0.000543567117733,3916.0
9009,0.883415102959,-0.000517077597866,3917.0
9010,0.854666054249,-0.000468220719699,3918.0
9011,0.825143754482,-0.000421356903625,3919.0
9012,0.810091912746,-0.000398716449291,3920.0
9013,0.810091912746,-0.000398716449291,3921.0
9014,0.810091912746,-0.000398716449291,3922.0
9015,0.810091912746,-0.000398716449291,3923.0
9016,0.810091912746,-0.000398716449291,3924.0
9017,0.81075823307,-0.000399701120728,3925.0
9018,0.806166887283,-0.000392948948483,3926.0
9019,0.781093418598,-0.000357412879915,3927.0
9020,0.738699376583,-0.000302318316787,3928.0
9021,0.713105559349,-0.000271971082603,3929.0
9022,0.679255247116,-0.000235050007415,3930.0
9023,0.67093527317,-0.000226518218562,3931.0
9024,0.613893449306,-0.000173516293017,3932.0
9025,0.613893449306,-0.000173516293017,3933.0
9026,0.613893449306,-0.000173516293017,3934.0
9027,0.613893449306,-0.000173516293017,3935.0
9028,0.613893449306,-0.000173516293017,3936.0
9029,0.613893449306,-0.000173516293017,3937.0
9030,0.5831630826,-0.000148741217599,3938.0
9031,0.515157341957,-0.000102537079736,3939.0
9032,0.488951921463,-8.76717619705e-05,3940.0
9033,0.445905923843,-6.64953060619e-05,3941.0
9034,0.403999328613,-4.9454201443e-05,3942.0
9035,0.392494499683,-4.53484020646e-05,3943.0
9036,0.356121063232,-3.38730456481e-05,3944.0
9037,0.336257100105,-2.8515149525e-05,3945.0
9038,0.304112195969,-2.10941861921e-05,3946.0
9039,0.304112195969,-2.10941861921e-05,3947.0
9040,0.304112195969,-2.10941861921e-05,3948.0
9041,0.304112195969,-2.10941861921e-05,3949.0
9042,0.304112195969,-2.10941861921e-05,3950.0
9043,0.265169620514,-1.39840370098e-05,3951.0
9044,0.249642848969,-1.16685973528e-05,3952.0
9045,0.225554585457,-8.60629533242e-06,3953.0
9046,0.205919027328,-6.54863368693e-06,3954.0
9047,0.197009205818,-5.73483364191e-06,3955.0
9048,0.184480547905,-4.70882990392e-06,3956.0
9049,0.176383256912,-4.11560168278e-06,3957.0
9050,0.167611598969,-3.53161596028e-06,3958.0
9051,0.164575695992,-3.34316925787e-06,3959.0
9052,0.164575695992,-3.34316925787e-06,3960.0
9053,0.164575695992,-3.34316925787e-06,3961.0
9054,0.164575695992,-3.34316925787e-06,3962.0
9055,0.164575695992,-3.34316925787e-06,3963.0
9056,0.164575695992,-3.34316925787e-06,3964.0
9057,0.161849617958,-3.17977433133e-06,3965.0
9058,0.182447314262,-4.55484588866e-06,3966.0
9059,0.191079854965,-5.23246066604e-06,3967.0
9060,0.192638754845,-5.36157333665e-06,3968.0
9061,0.197078227997,-5.74086335112e-06,3969.0
9062,0.218186497688,-7.79013307645e-06,3970.0
9063,0.24035179615,-1.04136596444e-05,3971.0
9064,0.240509152412,-1.04341262392e-05,3972.0
9065,0.240509152412,-1.04341262392e-05,3973.0
9066,0.240509152412,-1.04341262392e-05,3974.0
9067,0.240509152412,-1.04341262392e-05,3975.0
9068,0.240509152412,-1.04341262392e-05,3976.0
9069,0.249740719795,-1.16823265229e-05,3977.0
9070,0.27932703495,-1.63455740523e-05,3978.0
9071,0.302199721336,-2.0698717726e-05,3979.0
9072,0.322720050812,-2.52080418476e-05,3980.0
9073,0.354862928391,-3.35153037439e-05,3981.0
9074,0.355795502663,-3.3780231848e-05,3982.0
9075,0.371257543564,-3.83784228764e-05,3983.0
9076,0.391007304192,-4.48348658092e-05,3984.0
9077,0.391007304192,-4.48348658092e-05,3985.0
9078,0.391007304192,-4.48348658092e-05,3986.0
9079,0.391007304192,-4.48348658092e-05,3987.0
9080,0.391007304192,-4.48348658092e-05,3988.0
9081,0.391007304192,-4.48348658092e-05,3989.0
9082,0.391007304192,-4.48348658092e-05,3990.0
9083,0.405578732491,-5.00364839442e-05,3991.0
9084,0.411514639854,-5.22657436035e-05,3992.0
9085,0.408769726753,-5.12268247751e-05,3993.0
9086,0.405022978783,-4.98310746945e-05,3994.0
9087,0.408955335617,-5.12966377048e-05,3995.0
9088,0.396745085716,-4.68377400151e-05,3996.0
9089,0.381896615028,-4.17732909015e-05,3997.0
9090,0.360450983047,-3.51236714679e-05,3998.0
9091,0.360450983047,-3.51236714679e-05,3999.0
9092,0.360450983047,-3.51236714679e-05,4000.0
9093,0.360450983047,-3.51236714679e-05,4001.0
9094,0.360450983047,-3.51236714679e-05,4002.0
9095,0.351203560829,-3.24891235011e-05,4003.0
9096,0.339053034782,-2.92323797185e-05,4004.0
9097,0.32465171814,-2.56634110583e-05,4005.0
9098,0.301892280579,-2.06356088889e-05,4006.0
9099,0.267349243164,-1.43317142467e-05,4007.0
9100,0.254293203354,-1.23329088418e-05,4008.0
9101,0.231649041176,-9.32293774597e-06,4009.0
9102,0.227976441383,-8.88650877467e-06,4010.0
9103,0.22009396553,-7.9962372175e-06,4011.0
9104,0.202609419823,-6.23792519215e-06,4012.0
9105,0.202609419823,-6.23792519215e-06,4013.0
9106,0.202609419823,-6.23792519215e-06,4014.0
9107,0.202609419823,-6.23792519215e-06,4015.0
9108,0.202609419823,-6.23792519215e-06,4016.0
9109,0.202609419823,-6.23792519215e-06,4017.0
9110,0.183858752251,-4.66137656902e-06,4018.0
9111,0.153631091118,-2.71955977197e-06,4019.0
9112,0.140614748001,-2.08522960435e-06,4020.0
9113,0.123025178909,-1.39650752183e-06,4021.0
9114,0.0909996032715,-5.65170858087e-07,4022.0
9115,0.0781710147858,-3.58260157836e-07,4023.0
9116,0.0527163743973,-1.09874741058e-07,4024.0
9117,0.0416691303253,-5.42630964579e-08,4025.0
9118,0.0416691303253,-5.42630964579e-08,4026.0
9119,0.0416691303253,-5.42630964579e-08,4027.0
9120,0.0416691303253,-5.42630964579e-08,4028.0
9121,0.0416691303253,-5.42630964579e-08,4029.0
9122,0.0404917001724,-4.97919689945e-08,4030.0
9123,0.0355699062347,-3.37527703436e-08,4031.0
9124,0.0133460760117,-1.78287972193e-09,4032.0
9125,0.00474560260773,-8.01558764839e-11,4033.0
9126,0.00345289707184,-3.08753693136e-11,4034.0
9127,0.0102120637894,-7.98733353798e-10,4035.0
9128,0.016330242157,-3.26617265031e-09,4036.0
9129,0.016330242157,-3.26617265031e-09,4037.0
9130,0.016330242157,-3.26617265031e-09,4038.0
9131,0.016330242157,-3.26617265031e-09,4039.0
9132,0.016330242157,-3.26617265031e-09,4040.0
9133,0.016330242157,-3.26617265031e-09,4041.0
9134,0.0141475200653,-2.12374426491e-09,4042.0
9135,0.0185546875,-4.79095615447e-09,4043.0
9136,0.0304332971573,-2.11401606398e-08,4044.0
9137,0.0385489463806,-4.29634156081e-08,4045.0
9138,0.060838341713,-1.68885890047e-07,4046.0
9139,0.0745296478271,-3.10490610029e-07,4047.0
9140,0.0819163322449,-4.12261481648e-07,4048.0
9141,0.103591918945,-8.33755856539e-07,4049.0
9142,0.136902332306,-1.92439315855e-06,4050.0
9143,0.136902332306,-1.92439315855e-06,4051.0
9144,0.136902332306,-1.92439315855e-06,4052.0
9145,0.136902332306,-1.92439315855e-06,4053.0
9146,0.136902332306,-1.92439315855e-06,4054.0
9147,0.136902332306,-1.92439315855e-06,4055.0
9148,0.16109418869,-3.13545726067e-06,4056.0
9149,0.189413428307,-5.0967526512e-06,4057.0
9150,0.194473862648,-5.51626325694e-06,4058.0
9151,0.214604496956,-7.41272208458e-06,4059.0
9152,0.247937202454,-1.14310560246e-05,4060.0
9153,0.242376923561,-1.06791102387e-05,4061.0
9154,0.233305215836,-9.52433379935e-06,4062.0
9155,0.231532692909,-9.30889715777e-06,4063.0
9156,0.231532692909,-9.30889715777e-06,4064.0
9157,0.231532692909,-9.30889715777e-06,4065.0
9158,0.231532692909,-9.30889715777e-06,4066.0
9159,0.231532692909,-9.30889715777e-06,4067.0
9160,0.231532692909,-9.30889715777e-06,4068.0
9161,0.248391032219,-1.14939419691e-05,4069.0
9162,0.256105542183,-1.25984812452e-05,4070.0
9163,0.260922431946,-1.33228002528e-05,4071.0
9164,0.262832164764,-1.36174816756e-05,4072.0
9165,0.261192679405,-1.33642399632e-05,4073.0
9166,0.254468679428,-1.23584575876e-05,4074.0
9167,0.241485118866,-1.05616648738e-05,4075.0
9168,0.236561775208,-9.9287591339e-06,4076.0
9169,0.222280144691,-8.23689018247e-06,4077.0
9170,0.222280144691,-8.23689018247e-06,4078.0
9171,0.222280144691,-8.23689018247e-06,4079.0
9172,0.222280144691,-8.23689018247e-06,4080.0
9173,0.222280144691,-8.23689018247e-06,4081.0
9174,0.212863564491,-7.23377929833e-06,4082.0
9175,0.192880749702,-5.38180452679e-06,4083.0
9176,0.18242585659,-4.55323898813e-06,4084.0
9177,0.155443072319,-2.81692560747e-06,4085.0
9178,0.140332818031,-2.0727121947e-06,4086.0
9179,0.11986207962,-1.29153651368e-06,4087.0
9180,0.107217669487,-9.24400884874e-07,4088.0
9181,0.125698566437,-1.48954023058e-06,4089.0
9182,0.125698566437,-1.48954023058e-06,4090.0
9183,0.125698566437,-1.48954023058e-06,4091.0
9184,0.125698566437,-1.48954023058e-06,4092.0
9185,0.125698566437,-1.48954023058e-06,4093.0
9186,0.125698566437,-1.48954023058e-06,4094.0
9187,0.0965554714203,-6.75137030389e-07,4095.0
9188,0.110131502151,-1.00183442775e-06,4096.0
9189,0.101801991463,-7.91279810422e-07,4097.0
9190,0.0867167711258,-4.89069477215e-07,4098.0
9191,0.0598779916763,-1.6101374083e-07,4099.0
9192,0.0490032434464,-8.82542730679e-08,4100.0
9193,0.0427786111832,-5.87139510451e-08,4101.0
9194,0.032964348793,-2.68654899685e-08,4102.0
9195,0.0152344703674,-2.65181574318e-09,4103.0
9196,0.0152344703674,-2.65181574318e-09,4104.0
9197,0.0152344703674,-2.65181574318e-09,4105.0
9198,0.0152344703674,-2.65181574318e-09,4106.0
9199,0.0152344703674,-2.65181574318e-09,4107.0
9200,0.0152344703674,-2.65181574318e-09,4108.0
9201,0.00751101970673,-3.17802981834e-10,4109.0
9202,0.014179110527,-2.1380025902e-09,4110.0
9203,0.00642704963684,-1.99111445608e-10,4111.0
9204,0.00418531894684,-5.49853434167e-11,4112.0
9205,0.00484418869019,-8.52558949284e-11,4113.0
9206,0.00553858280182,-1.27425756854e-10,4114.0
9207,0.0101926326752,-7.94182628299e-10,4115.0
9208,0.0101926326752,-7.94182628299e-10,4116.0
9209,0.0101926326752,-7.94182628299e-10,4117.0
9210,0.0101926326752,-7.94182628299e-10,4118.0
9211,0.0101926326752,-7.94182628299e-10,4119.0
9212,0.0101926326752,-7.94182628299e-10,4120.0
9213,0.0273385047913,-1.53244726434e-08,4121.0
9214,0.0363221168518,-3.59397223074e-08,4122.0
9215,0.0545200109482,-1.21542752277e-07,4123.0
9216,0.0704584121704,-2.62337163748e-07,4124.0
9217,0.103808641434,-8.38999661311e-07,4125.0
9218,0.111664652824,-1.04425947238e-06,4126.0
9219,0.135135293007,-1.85083467062e-06,4127.0
9220,0.15182197094,-2.62461217256e-06,4128.0
9221,0.170255184174,-3.70136827135e-06,4129.0
9222,0.170255184174,-3.70136827135e-06,4130.0
9223,0.170255184174,-3.70136827135e-06,4131.0
9224,0.170255184174,-3.70136827135e-06,4132.0
9225,0.170255184174,-3.70136827135e-06,4133.0
9226,0.205792546272,-6.5365740516e-06,4134.0
9227,0.248287320137,-1.14795505921e-05,4135.0
9228,0.262565851212,-1.35761300402e-05,4136.0
9229,0.292602300644,-1.87886022659e-05,4137.0
9230,0.311883926392,-2.27530825509e-05,4138.0
9231,0.351068019867,-3.24515221643e-05,4139.0
9232,0.370647788048,-3.81896344587e-05,4140.0
9233,0.396504878998,-4.6752718701e-05,4141.0
9234,0.396504878998,-4.6752718701e-05,4142.0
9235,0.396504878998,-4.6752718701e-05,4143.0
9236,0.396504878998,-4.6752718701e-05,4144.0
9237,0.396504878998,-4.6752718701e-05,4145.0
9238,0.408076047897,-5.0966472593e-05,4146.0
9239,0.417279720306,-5.44932988181e-05,4147.0
9240,0.44927406311,-6.80135282894e-05,4148.0
9241,0.465720236301,-7.57594112244e-05,4149.0
9242,0.499556303024,-9.3500641861e-05,4150.0
9243,0.52156740427,-0.000106412486051,4151.0
9244,0.526946544647,-0.000109738986909,4152.0
9245,0.54142254591,-0.000119033793249,4153.0
9246,0.553282856941,-0.000127029007763,4154.0
9247,0.553282856941,-0.000127029007763,4155.0
9248,0.553282856941,-0.000127029007763,4156.0
9249,0.553282856941,-0.000127029007763,4157.0
9250,0.553282856941,-0.000127029007763,4158.0
9251,0.556671082973,-0.000129377051406,4159.0
9252,0.565666079521,-0.000135750573756,4160.0
9253,0.56824028492,-0.000137612321582,4161.0
9254,0.577933907509,-0.000144775738682,4162.0
9255,0.5749142766,-0.000142518270584,4163.0
9256,0.568996846676,-0.000138162709685,4164.0
9257,0.571390748024,-0.000139913904178,4165.0
9258,0.571390748024,-0.000139913904178,4166.0
9259,0.571390748024,-0.000139913904178,4167.0
9260,0.571390748024,-0.000139913904178,4168.0
9261,0.571390748024,-0.000139913904178,4169.0
9262,0.571390748024,-0.000139913904178,4170.0
